VC,Vendor,Source
1975,ALLEN AIRCRAFT PRODUCTS INC,QNLI
20135,A.T.L.A.S. AERONAUTIK INC.,QNLI
20545,PARKER AEROSPACE GAS TURBINE FUEL,QNLI
20608,HARCOSEMCO LLC,QNLI
20639,MEGGITT (TROY)  INC,QNLI
20698,ENJET AERO MANCHESTER LLC.,QNLI
21513,"PCC AIRFOILS INC., DOUGLAS DIVISION",QNLI
21538,THERMAL STRUCTURES INC.,QNLI
21632,RBC TRANSPORT DYNAMICS,QNLI
21663,TA AEROSPACE CO,QNLI
21737,PCC AIRFOILS INC.MINERVA,QNLI
22,MANUFACTURING ENGRG DEVELOPM'T (MED,QNLI
23,MANUFACTURING ENGRG DEVELOPM'T (MED,QNLI
23153,VESTSHELL INC,QNLI
24,COMBUSTION LINERS SUB-ASSEMBLIES (S,QNLI
24511,WOODWARD INC,QNLI
24517,"WYMAN GORDON COMPANY, MASSACHUSETTS",QNLI
24533,"WALBAR PEABODY, LLC",QNLI
24558,WELLMAN DYNAMICS CORP,QNLI
24664,WESTON AEROSPACE LTD,QNLI
25,DETAILS (S.M.),QNLI
2560,"UNISON INDUSTRIES INC., FLORIDA",QNLI
27,COMBUSTOR LINERS (Machined),QNLI
27767,SERVOTRONICS INC.,QNLI
29501,"HOWMET CORPORATION, LAPORTE",QNLI
29507,"HOWMET CORPORATION, WICHITA FALLS",QNLI
30,TURBINE DISC (M&G),QNLI
3001821,SCHLOSSER  FORGE COMPANY,QNLI
3001827,BOEING DISTRIBUTION SERVICES INC.,QNLI
3001833,LISI AEROSPACE,QNLI
31041,ABIPA CANADA INC.,QNLI
3212,"WYMAN GORDON FORGING INC., HOUSTON",QNLI
33,GAS GENENREATOR PW100 (S.M.),QNLI
33190,HOWMET GEORGETOWN CASTINGS,QNLI
3564,CHAMPION AEROSPACE LLC,QNLI
3631,CONTROLEX MECHANICAL CONTROLS,QNLI
3652,CARMEL FORGE,QNLI
38,TURBINE DISCS,QNLI
3804,AUBERT & DUVAL,QNLI
4,Warehouse Plant 1,QNLI
4164,GOODRICH CONTROL SYSTEMS SHARED SER,QNLI
4272,ABB INSTALLATION PRODUCTS LIMITED,QNLI
43135,HS MARSTON AEROSPACE LTD,QNLI
43309,MTU AERO ENGINES AG,QNLI
4348,DESIGNED PRECISION CASTINGS INC.,QNLI
44,Turbine Disc,QNLI
45,Turbine Disc,QNLI
4524,"COLLINS ENGINE NOZZLES, INC.",QNLI
49,COVERS & HOUSING (M&G),QNLI
49009,SIRIUS INC.,QNLI
4908,WOODWARD CANADA INC.,QNLI
5,ASSEMBLY & TEST MIRABEL,QNLI
51,HALIFAX IBF,QNLI
52,HALIFAX BLADES,QNLI
57,HALIFAX CASES LINE 1,QNLI
600001,PRATT & WHITNEY CANADA (PL1),QNLI
60340,"PARKER HANNIFIN CORP., FORT  WORTH",QNLI
60424,FORGED METALS INC.,QNLI
6081,SCHAEFFLER AEROSPACE CANADA INC,QNLI
6101,FORGES DE BOLOGNE,QNLI
6101,LISI AEROSPACE FORGED INTEGRATED,QNLI
61434,HONEYWELL HARDWARE PRODUCT,QNLI
6182,FORGED SOLUTIONS GROUP LIMITED,QNLI
62817,BLANC AERO INDUSTRIES,QNLI
63010,AECC SOUTH INDUSTRY COMPANY LIMITED,QNLI
63051,COMTEK ADVANCED STRUCTURES LTD.,QNLI
64796,HITCHINER MANUFACTURING CO.INC.,QNLI
65039,HAMILTON STANDARD CANADA,QNLI
65588,P&WC COMPONENT REPAIRS,QNLI
6559,F&B MANUFACTURING CO.,QNLI
6627,GE AVIO S.R.L,QNLI
6682,KIDDE AEROSPACE / FENWAL SAFETY,QNLI
68,CMBD(Canadian Mfg Business DEVment),QNLI
70,ASSY & TEST LETHBRIDGE,QNLI
700057,SOUTH PRATT & WHITNEY AERO-ENGINE,QNLI
700057,SOUTH PRATT & WHITNEY AERO-ENGINES,QNLI
700398,PRATT & WHITNEY AEROTECH,QNLI
700906,FOKKER ELMO BV,QNLI
701244,TW METALS,QNLI
701445,MAGNETIC SEAL CORP.,QNLI
701473,"ALIGN AEROSPACE CANADA, ULC",QNLI
702055,WALBAR LLC,QNLI
702463,"WYMAN - GORDON LTD., U.K.",QNLI
702966,AUXITROL S.A.,QNLI
703201,"POLSKIE ZAKLADY LOTNICZE,",QNLI
703421,FACC OPERATIONS GMBH,QNLI
704477,HONEYWELL INTERNATIONAL INC.,QNLI
704982,GROUPE MELOCHE INC,QNLI
711721,TOLERANCE MASTERS,QNLI
712018,EDCO ENGINEERING,QNLI
712035,HAMILTON SUNDSTRAND (PHOENIX),QNLI
712067,"TRIUMPH ENGINE CONTROL SYSTEMS, LLC",QNLI
712310,O'FALLON CASTING,QNLI
712363,WOODWARD INC,QNLI
712382,ALP HAVACILIK,QNLI
713107,MEYER TOOL POLAND SP Z O O,QNLI
713276,LPI CORPORATION,QNLI
714003,LINREAD NORTHBRIDGE LEICESTER,QNLI
714338,TIMKEN (CHENGDU) AEROSPACE & PRECIS,QNLI
715468,STEIN SEAL COMPANY,QNLI
715690,NIMROD TECHNOLOGIES,QNLI
715693,MB AEROSPACE RZESZOW SP Z O.O.,QNLI
716286,TEST DEVICES INC,QNLI
717021,MAGELLAN AEROSPACE (TUMKUR),QNLI
717148,TURBINE JET LTD,QNLI
717461,PMI ENGINEERING EXPORTS PVT.LTD,QNLI
717750,IMPRO AEROTEK LIMITED,QNLI
717930,CROSS MANUFACTURING CO (1938) LTD,QNLI
718044,UNIMET D.O.O.,QNLI
718625,VIBRANT CORPORATION,QNLI
718635,ATI ZKM FORGING SP.Z O.O,QNLI
718826,ADVANCED COATING TECHNOLOGIES,QNLI
718978,PRATT AND WHITNEY TUBES SP.Z.O.O.,QNLI
719169,TITAN ENGINEERING & AUTOMATION,QNLI
719295,AIRTOMIC,QNLI
719349,APN INC.,QNLI
719658,HS KALISZ SP. Z.O.O.,QNLI
719675,BOEING DISTRIBUTION SERVICES INC.,QNLI
720027,PRATT & WHITNEY,QNLI
720297,AVICA AEROSPACE DUCTING LIMITED,QNLI
720449,"HI-TECH MOLD & TOOL, INC.",QNLI
720849,REXNORD INDUSTRIES LLC,QNLI
720974,HAMILTON SUNDSTRAND CORPORATION,QNLI
721019,"HOOSIER SPRING CO., INC.",QNLI
721236,HOWMET GLOBAL FASTENING SYSTEMS INC,QNLI
721324,HOTTINGER BRUEL & KJAER A/S,QNLI
722434,"INDUSTRIA DE TURBO PROPULSORES, S.A",QNLI
722576,QUALITY NAME PLATE INC,QNLI
723055,WOODWARD MPC INC,QNLI
723100,FORREST MACHINE INC,QNLI
723112,BOYD CORPORATION (WOBURN) INC,QNLI
723130,PRECISE METAL PRODUCTS CO,QNLI
723137,HANWHA AEROSPACE CO. LTD.,QNLI
723763,SELMET INC,QNLI
723788,LORD CORPORATION,QNLI
723993,CONSOLIDATED PRECISION PRODUCTS,QNLI
724303,PRATT & WHITNEY ENGINE SERVICES,QNLI
724798,POLAMER PRECISION INC,QNLI
724835,DAHER AEROSPACE SAS,QNLI
725709,INDO-MIM LTD,QNLI
726036,FOKKER ELMO (LANGFANG) ELECTRICAL,QNLI
726241,ELLWOOD TEXAS FORGE L.P.,QNLI
726332,KAWASAKI HEAVY INDUSTRIES LTD,QNLI
726828,THE TIMKEN COMPANY (SHILOH),QNLI
727130,SENIOR AEROSPACE (THAILAND) LIMITED,QNLI
727214,MECACHROME AERONAUTICA,QNLI
727824,SERMP (GROUPE LPF),QNLI
728498,PCC STRUCTURALS INC,QNLI
728629,LPF CASABLANCA (GROUPE LPF),QNLI
729138,PARKER HANNIFIN CORPORATION,QNLI
729778,GKN FOKKER ELMO INDIA PRIVATE LIMIT,QNLI
730753,PRATT & WHITNEY MAROC,QNLI
730989,ADEPT FASTENERS INC.,QNLI
7506,GLENAIR INC.,QNLI
7547,MB AEROSPACE WARREN LLC,QNLI
8070,AEROSPATIALE HEMMINGFORD INC,QNLI
85,NGPF Combustor,QNLI
8547,CONSOLIDATED PRECISION PRODUCTS,QNLI
8554,SAINT-GOBAIN PERFORMANCE PLASTICS C,QNLI
87,ASSY FSL 12F BOUCHERVILLE,QNLI
8717,AMETEK HUGHES-TREITLER,QNLI
88,ASSY FSL 15F MIRABEL,QNLI
90,ASSY FSL 32F LETHBRIDGE,QNLI
9526,BLADES TECHNOLOGY LTD,QNLI
98,ASSEMBLY ENG'R SUP&MODEL SHOP,QNLI
CNFAB,FAB,QNLI
CNPWC,PWC,QNLI
,Airtomic,ZNC
,Blade Campus 41,ZNC
,BTL,ZNC
,Campus 1,ZNC
,CPP,ZNC
,Halifax IBF,ZNC
,Hanwha,ZNC
,Impeller Shaft,ZNC
,Integrally Bladed Plant 1,ZNC
,Meyer Tool,ZNC
,MILLER CASTINGS,ZNC
,PWR,ZNC
